id_vente;id_vendeur;id_client;id_produit;quantite;date
7646989696;57;33;11;62;22/06/2024
8220769844;39;97;15;24;03/11/2024
4374100359;42;59;5;96;19/10/2024
1186278607;55;20;17;57;24/05/2024
2701971675;42;78;16;43;06/07/2024
3795243756;57;24;9;74;29/08/2024
9854379282;39;62;10;57;15/01/2024
5806405092;32;7;17;68;06/03/2024
3232216850;32;81;3;25;19/07/2024
7443393956;33;47;1;70;18/11/2024
1666185104;33;85;4;88;22/09/2024
9571651277;32;16;14;27;17/06/2024
3548473642;33;78;17;55;23/06/2024
9779269112;55;2;12;49;13/02/2024
1613933762;39;67;6;80;26/10/2024
6966406175;57;26;10;25;12/10/2024
6803612853;42;10;11;19;05/05/2024
7233627817;39;48;18;93;30/11/2024
5163931332;57;15;7;35;01/08/2024
3649900500;55;75;12;21;17/07/2024
9336952128;33;37;9;27;06/07/2024
8241605969;42;26;19;32;22/11/2024
4137476598;42;11;12;65;30/06/2024
7927729631;42;99;7;60;31/03/2024
8575449525;57;95;2;28;23/09/2024
9246244501;39;16;6;98;06/10/2024
6048082221;57;65;3;14;05/02/2024
5990841178;32;17;14;27;11/06/2024
4533191450;33;10;17;92;25/12/2024
8886342801;55;61;13;24;08/06/2024
8392482851;42;90;11;58;31/08/2024
5459095770;32;56;12;48;03/04/2024
9701408708;42;60;15;37;26/08/2024
8071350812;33;45;5;16;22/10/2024
6471416633;42;65;3;82;22/02/2024
2814536904;55;43;9;95;18/04/2024
9031212060;57;91;3;59;22/12/2024
2135029275;57;60;15;47;14/09/2024
4701705623;55;83;9;77;21/02/2024
8201947676;39;24;1;28;04/12/2024
4429116631;57;54;18;21;21/11/2024
8348128343;32;26;18;34;24/03/2024
7738307262;33;13;18;31;13/11/2024
5823670354;33;97;12;59;19/07/2024
4814912973;55;16;7;84;05/05/2024
3683576004;55;39;7;66;03/11/2024
2955459175;57;34;13;78;14/07/2024
2070611137;39;45;12;100;23/09/2024
9847303205;32;78;15;60;01/02/2024
9366728803;33;26;5;81;24/04/2024
1294683670;39;45;2;38;01/05/2024
3098785537;57;17;17;30;15/03/2024
1752474205;39;47;3;40;06/01/2024
6888715362;39;23;14;47;13/11/2024
6626519988;57;8;9;65;23/10/2024
3752779874;42;41;19;46;23/05/2024
2425140285;42;49;14;73;06/12/2024
8079700010;33;30;14;98;17/02/2024
8951726829;33;1;15;39;13/06/2024
4588769501;33;25;7;50;02/04/2024
2480017044;32;57;8;33;16/08/2024
6064553916;42;13;17;95;15/11/2024
5559080795;42;79;2;24;31/01/2024
9734536121;33;80;7;27;16/06/2024
6261962734;57;55;5;43;01/02/2024
3765010821;57;58;18;27;14/07/2024
3730498365;55;39;14;66;17/03/2024
1144894677;57;24;13;42;17/04/2024
8690492767;32;86;8;66;09/11/2024
9443691187;57;88;17;89;04/03/2024
7876059868;32;41;8;53;14/10/2024
8650829373;42;79;18;71;25/02/2024
6921088156;32;26;2;25;28/05/2024
1900810896;55;26;7;43;16/12/2024
1734974764;55;69;14;96;15/05/2024
1720588389;57;4;12;10;11/06/2024
5424133790;32;28;6;68;24/02/2024
8244062203;32;84;12;52;29/03/2024
9469346940;57;49;3;18;18/10/2024
4870018583;39;91;8;93;23/02/2024
1603305330;55;72;11;86;19/01/2024
6311901951;39;36;12;79;27/11/2024
4264898250;57;47;18;24;19/01/2024
8524450642;57;71;4;99;10/01/2024
2316030848;33;30;18;38;17/02/2024
8271053769;55;8;19;98;19/09/2024
9135269499;55;4;13;31;30/11/2024
8906038125;57;19;9;91;10/12/2024
6211432346;33;80;6;72;03/07/2024
9352888630;39;99;18;80;23/05/2024
3488912057;55;35;7;49;21/09/2024
9476587158;42;26;19;30;03/02/2024
6654168703;39;78;12;17;07/10/2024
5164457310;42;1;19;71;17/02/2024
6543024928;57;6;2;89;19/03/2024
5968895033;33;18;10;61;06/07/2024
4127908963;32;53;8;70;26/08/2024
3549918074;33;86;17;26;03/04/2024
5834690327;42;6;14;77;17/12/2024
2773562475;55;76;18;73;07/03/2024
8483119270;55;8;6;12;10/02/2024
4875462620;33;64;13;77;21/11/2024
6581961917;55;10;12;52;18/01/2024
9343425911;33;18;19;32;15/03/2024
3127403878;39;62;18;35;09/06/2024
9668361994;33;8;1;82;04/08/2024
5223743872;55;67;16;55;06/05/2024
9708303263;55;40;4;65;04/12/2024
7872727151;33;6;11;83;17/04/2024
7004901814;39;36;5;77;22/12/2024
2594670457;39;44;19;47;13/05/2024
1966054745;39;48;11;30;15/02/2024
5407111072;33;33;1;14;19/07/2024
5498197662;55;69;10;16;20/11/2024
9163613197;55;67;8;98;12/07/2024
1374148892;57;28;14;91;26/11/2024
4107281360;55;88;3;58;08/09/2024
4726880539;32;19;4;88;28/06/2024
3857039793;55;98;11;71;09/02/2024
6907845406;39;99;16;43;17/07/2024
5789703660;32;55;16;51;29/11/2024
7662761746;55;72;2;81;29/05/2024
6933043965;57;61;12;21;10/10/2024
3510368302;42;62;9;69;31/10/2024
1690038952;57;51;14;35;07/10/2024
7796230983;32;36;8;52;07/12/2024
3692938770;42;25;11;45;29/07/2024
8901536889;55;60;14;85;18/04/2024
1498970974;57;56;8;55;10/06/2024
8461168921;42;5;13;38;21/09/2024
1298642107;55;45;16;77;18/03/2024
8682300692;55;54;2;33;09/02/2024
6806366489;57;60;8;46;30/05/2024
7779084462;42;52;1;12;09/08/2024
7686256050;33;13;13;87;29/08/2024
8076017582;32;51;13;35;11/02/2024
4054287196;33;52;18;84;21/03/2024
5405404688;33;96;3;72;30/03/2024
2357130425;55;43;13;55;13/06/2024
2598196303;39;77;1;74;10/02/2024
4795032420;39;3;19;81;06/04/2024
9225324487;33;47;15;16;27/04/2024
9798688393;42;87;13;37;01/12/2024
6448757100;32;67;10;30;20/07/2024
1749120452;55;44;6;77;15/12/2024
1848196336;57;55;6;90;27/11/2024
4901456661;32;82;12;99;26/12/2024
4779292643;33;32;3;37;03/04/2024
8138675715;55;4;19;59;27/11/2024
9536492011;55;50;9;56;14/06/2024
8648612619;57;24;3;74;02/07/2024
1629292115;57;77;15;71;26/01/2024
6057749911;32;13;12;89;13/07/2024
8663384723;42;54;9;63;01/02/2024
2189896628;57;70;19;40;12/01/2024
8045137588;32;95;13;38;03/03/2024
4094187042;39;17;15;26;27/09/2024
6849152881;33;66;12;97;24/09/2024
4112090276;42;71;15;57;25/11/2024
1014735842;33;24;6;91;21/07/2024
5048981301;33;27;11;16;21/06/2024
